,xcoord,ycoord,concordex_pred
0,1632.575,3463.375,1
1,2444.10091743119,3211.55963302752,0
2,3076.57575757576,2494.06060606061,2
3,4916.05970149254,1439.22388059701,3
4,3078.08888888889,1795.17777777778,0
5,4682.63736263736,2342.1978021978,1
6,4178.56382978723,2645.02127659574,0
7,2897.30952380952,2457.0,1
8,2097.51923076923,3154.4358974359,1
9,2689.2625,1708.35,0
10,2757.94565217391,1932.38043478261,0
11,3564.88970588235,1188.06617647059,1
12,5065.93975903615,2665.89156626506,1
13,2386.99,2348.63,3
14,4769.35779816514,2118.39449541284,1
15,3245.87272727273,1388.71818181818,0
16,3149.6,2646.04761904762,2
17,2328.97520661157,2699.98347107438,0
18,2428.70833333333,1356.40833333333,0
19,1290.40425531915,2840.37588652482,1
20,2840.25,1534.11842105263,0
21,4588.52380952381,2567.03968253968,0
22,5129.80487804878,1901.87804878049,1
23,2021.4854368932,3767.06796116505,0
24,1444.23529411765,4086.54411764706,0
25,2160.45283018868,3827.33018867925,2
26,3282.24705882353,1115.92941176471,1
27,2109.42253521127,3993.40845070423,0
28,3459.63888888889,2351.66666666667,0
29,1886.19047619048,2832.20238095238,0
30,3861.40476190476,2220.85714285714,0
31,1541.91803278689,4144.36065573771,1
32,1275.06666666667,2829.61333333333,1
33,4950.13559322034,1998.67796610169,1
34,1881.33333333333,4437.14583333333,0
35,5122.45454545455,2595.0303030303,1
36,3888.02857142857,1748.11428571429,3
37,2190.61290322581,3997.45161290323,0
38,1456.21568627451,3634.16666666667,0
39,2349.61744966443,3079.24161073826,0
40,3731.23703703704,3298.43703703704,1
41,1526.49253731343,3837.58955223881,2
42,3994.7,1711.93076923077,3
43,2839.75238095238,1885.3619047619,0
44,1337.5,3820.89552238806,0
45,2352.30769230769,2766.5641025641,0
46,4705.3152173913,2370.5652173913,0
47,2501.51063829787,2785.8085106383,0
48,2098.61194029851,4281.38805970149,2
49,1757.15625,2805.0625,0
50,2875.70114942529,1377.31034482759,0
51,4240.9243697479,3480.00840336134,3
52,4158.08035714286,2060.83035714286,0
53,2235.89887640449,2606.07865168539,0
54,2941.32,2289.92,0
55,1936.7032967033,2688.13186813187,2
